step,mean,std,stderr,count,ess
1,11.716518,6.8457026,0.2164801255244087,1000,1.0
2,15.301124,6.8290124,0.21595233334405547,1000,1.0
3,20.917965,8.468817,0.26780750039359974,1000,1.0
4,25.864508,11.184733,0.353692325366918,1000,1.0
5,32.868942,18.138643,0.5735942638194742,1000,1.0
6,40.21673,22.606878,0.7148922615301251,1000,1.0
7,49.598946,31.602076,0.9993453761141119,1000,1.0
8,57.785698,39.72324,1.256159141211102,1000,1.0
9,66.53892,44.98257,1.422473782577277,1000,1.0
10,72.335304,47.903767,1.5148501105854628,1000,1.0
11,78.71972,52.84887,1.6712279882759082,1000,1.0
12,86.277916,59.951862,1.895844349481091,1000,1.0
13,90.89872,64.09226,2.0267752915995914,1000,1.0
14,97.82651,70.10249,2.216835484408416,1000,1.0
15,101.706535,76.70766,2.425709096533515,1000,1.0
16,107.79263,82.01389,2.5935070206034494,1000,1.0
17,113.56155,85.587425,2.706512028022751,1000,1.0
18,120.00712,89.03302,2.8154713022508777,1000,1.0
19,125.749794,91.27437,2.88634895777219,1000,1.0
20,130.39615,93.312256,2.950792621240175,1000,1.0
21,136.10492,96.669685,3.0569638644135453,1000,1.0
22,141.78047,99.83571,3.1570823105029997,1000,1.0
23,148.29831,103.2906,3.2663356838879065,1000,1.0
24,154.67575,106.341194,3.36280382625129,1000,1.0
25,160.58055,109.361435,3.458312225837258,1000,1.0
26,166.74808,111.4901,3.5256264321824924,1000,1.0
27,172.001,114.20129,3.6113617647932026,1000,1.0
28,176.9283,116.309525,3.6780301110541878,1000,1.0
29,183.7407,118.89341,3.759739735272749,1000,1.0
30,190.71666,122.50294,3.873883019822229,1000,1.0
31,195.64934,125.777245,3.977425706545134,1000,1.0
32,203.24948,128.33252,4.058230595867941,1000,1.0
33,209.5715,131.16579,4.147826371963175,1000,1.0
34,216.30402,132.76492,4.198395503595149,1000,1.0
35,222.4633,134.865,4.264805940095185,1000,1.0
36,228.63358,137.00862,4.332593021212601,1000,1.0
37,233.19359,138.77463,4.388439049281891,1000,1.0
38,240.05292,141.78238,4.483552501928033,1000,1.0
39,245.73332,143.47769,4.537162990385575,1000,1.0
40,251.01636,144.13997,4.558106035015135,1000,1.0
41,256.37906,146.40732,4.62980591360971,1000,1.0
42,264.0407,148.79553,4.705327874929227,1000,1.0
43,270.68225,150.65749,4.7642080219449205,1000,1.0
44,277.1723,153.1543,4.843164115666084,1000,1.0
45,284.55133,156.29822,4.942583623890737,1000,1.0
46,288.9736,157.49348,4.980381276471604,1000,1.0
47,294.8119,159.88695,5.056069226486664,1000,1.0
48,301.42758,161.946,5.121182152514868,1000,1.0
49,306.1209,164.34274,5.19697384546464,1000,1.0
50,313.45468,169.40587,5.357083935547052,1000,1.0
