step,mean,ess,count,resample_fraction
1,0.37663212,493.17654,1000,0.002
2,0.7379061,441.2197,1000,0.027
3,1.1094418,404.23734,1000,0.049
4,1.4788737,376.51987,1000,0.072
5,1.8116703,358.75937,1000,0.089
6,2.1446903,346.7544,1000,0.104
7,2.5057554,337.68243,1000,0.13
8,2.9256406,337.7376,1000,0.146
9,3.29127,342.6707,1000,0.152
10,3.6631155,348.7012,1000,0.144
11,4.028255,350.18155,1000,0.133
12,4.413689,348.34595,1000,0.132
13,4.757219,350.4308,1000,0.119
14,5.1083956,344.9112,1000,0.148
15,5.4819183,350.27985,1000,0.132
16,5.8773446,349.91187,1000,0.126
17,6.2819495,344.56168,1000,0.138
18,6.6652203,346.7581,1000,0.145
19,6.999736,350.7248,1000,0.126
20,7.3806424,346.90393,1000,0.14
21,7.7765355,349.56766,1000,0.141
22,8.169159,352.73718,1000,0.124
23,8.523989,350.83176,1000,0.116
24,8.893157,346.34647,1000,0.132
25,9.275083,345.24268,1000,0.133
26,9.624086,345.36426,1000,0.134
27,10.019928,345.72937,1000,0.133
28,10.420549,347.96506,1000,0.124
29,10.8209305,344.72238,1000,0.143
30,11.20529,346.52902,1000,0.151
31,11.56822,349.01672,1000,0.139
32,11.947451,350.77127,1000,0.112
33,12.312613,343.67618,1000,0.142
34,12.690918,347.36398,1000,0.149
35,13.028417,353.3903,1000,0.111
36,13.375686,349.23676,1000,0.123
37,13.712679,345.6174,1000,0.143
38,14.076554,348.18228,1000,0.121
39,14.455166,342.4343,1000,0.156
40,14.826959,346.22745,1000,0.154
41,15.182918,353.35303,1000,0.114
42,15.513417,350.2855,1000,0.137
43,15.883255,351.2769,1000,0.132
44,16.262482,352.27744,1000,0.117
45,16.628094,349.29202,1000,0.119
46,17.005285,345.2682,1000,0.131
47,17.378977,346.0686,1000,0.132
48,17.73428,347.27917,1000,0.137
49,18.126356,350.3146,1000,0.127
50,18.511358,349.27786,1000,0.122
