epoch,loss,num_batches,batch_size
1,12.454909324645996,32,32
2,-6.418641090393066,32,32
3,-7.486085891723633,32,32
4,-7.6897382736206055,32,32
5,-7.875926971435547,32,32
6,-8.026989936828613,32,32
7,-8.010491371154785,32,32
8,-8.165897369384766,32,32
9,-8.267679214477539,32,32
10,-8.427751541137695,32,32
11,-8.503543853759766,32,32
12,-8.629737854003906,32,32
13,-8.508814811706543,32,32
14,-8.673340797424316,32,32
15,-8.66800594329834,32,32
16,-8.75611400604248,32,32
17,-8.76851749420166,32,32
18,-8.828755378723145,32,32
19,-8.811468124389648,32,32
20,-8.934510231018066,32,32
21,-8.895363807678223,32,32
22,-8.93304443359375,32,32
23,-9.028730392456055,32,32
24,-9.087682723999023,32,32
25,-9.145760536193848,32,32
26,-9.041699409484863,32,32
27,-9.12449836730957,32,32
28,-9.092679977416992,32,32
29,-9.215331077575684,32,32
30,-9.092262268066406,32,32
31,-9.304697036743164,32,32
32,-9.284416198730469,32,32
33,-9.372573852539062,32,32
34,-9.327720642089844,32,32
35,-9.337623596191406,32,32
36,-9.349947929382324,32,32
37,-9.380295753479004,32,32
38,-9.388663291931152,32,32
39,-9.497316360473633,32,32
40,-9.336139678955078,32,32
41,-9.502580642700195,32,32
42,-9.38895320892334,32,32
43,-9.518085479736328,32,32
44,-9.457399368286133,32,32
45,-9.561542510986328,32,32
46,-9.575739860534668,32,32
47,-9.53035831451416,32,32
48,-9.549552917480469,32,32
49,-9.619595527648926,32,32
50,-9.42539119720459,32,32
51,-9.637130737304688,32,32
52,-9.490561485290527,32,32
53,-9.583638191223145,32,32
54,-9.577990531921387,32,32
55,-9.645843505859375,32,32
56,-9.562836647033691,32,32
57,-9.614752769470215,32,32
58,-9.641962051391602,32,32
59,-9.665177345275879,32,32
60,-9.570815086364746,32,32
61,-9.580244064331055,32,32
62,-9.647492408752441,32,32
63,-9.70890998840332,32,32
64,-9.642402648925781,32,32
65,-9.669252395629883,32,32
66,-9.602251052856445,32,32
67,-9.467565536499023,32,32
68,-9.672945022583008,32,32
69,-9.668050765991211,32,32
70,-9.667961120605469,32,32
71,-9.59788703918457,32,32
72,-9.595576286315918,32,32
73,-9.61812973022461,32,32
74,-9.546863555908203,32,32
75,-9.584287643432617,32,32
76,-9.55626392364502,32,32
77,-9.674886703491211,32,32
78,-9.719096183776855,32,32
79,-9.670510292053223,32,32
80,-9.659292221069336,32,32
81,-9.760171890258789,32,32
82,-9.694552421569824,32,32
83,-9.645814895629883,32,32
84,-9.627416610717773,32,32
85,-9.697166442871094,32,32
86,-9.679532051086426,32,32
87,-9.64690113067627,32,32
88,-9.668549537658691,32,32
89,-9.667119026184082,32,32
90,-9.736519813537598,32,32
91,-9.458141326904297,32,32
92,-9.66136360168457,32,32
93,-9.709479331970215,32,32
94,-9.76547908782959,32,32
95,-9.72873592376709,32,32
96,-9.70988941192627,32,32
97,-9.66879653930664,32,32
98,-9.62221908569336,32,32
99,-9.60028076171875,32,32
100,-9.699041366577148,32,32
