step,mean,ess,count,resample_fraction
1,0.0017290807,507.91364,1000,0.0
2,-0.0012722155,497.1018,1000,0.001
3,-0.0015684543,491.05615,1000,0.001
4,-0.0024012649,487.322,1000,0.001
5,-0.0075727743,483.46295,1000,0.001
6,-0.012573698,479.92206,1000,0.0
7,-0.017000444,476.30075,1000,0.0
8,-0.016277077,472.9636,1000,0.0
9,-0.016549837,469.46945,1000,0.0
10,-0.018327894,465.92276,1000,0.0
11,-0.023958614,462.23776,1000,0.0
12,-0.026430875,458.9474,1000,0.0
13,-0.027349766,455.77228,1000,0.0
14,-0.031125385,452.54034,1000,0.0
15,-0.030993115,449.16214,1000,0.002
16,-0.027182702,446.43042,1000,0.0
17,-0.027719392,443.2119,1000,0.0
18,-0.0300979,439.8946,1000,0.0
19,-0.029286072,436.65707,1000,0.0
20,-0.026856862,433.25403,1000,0.0
21,-0.029602174,430.5822,1000,0.0
22,-0.025769085,427.65796,1000,0.0
23,-0.030571602,424.82736,1000,0.0
24,-0.031379312,421.76874,1000,0.0
25,-0.03224153,418.64594,1000,0.0
26,-0.03162321,415.36856,1000,0.0
27,-0.028369393,412.22653,1000,0.001
28,-0.026612133,409.80252,1000,0.0
29,-0.024086555,406.94043,1000,0.0
30,-0.024069922,404.16473,1000,0.0
31,-0.027240325,401.22223,1000,0.001
32,-0.024551421,398.61578,1000,0.0
33,-0.02754825,395.4332,1000,0.001
34,-0.025751874,392.89957,1000,0.0
35,-0.029493598,390.19415,1000,0.002
36,-0.0327921,388.0224,1000,0.001
37,-0.034675896,385.49533,1000,0.001
38,-0.0363482,383.03244,1000,0.0
39,-0.03810809,380.29514,1000,0.002
40,-0.040893883,378.31436,1000,0.001
41,-0.041071534,376.08212,1000,0.001
42,-0.0405037,373.66608,1000,0.002
43,-0.038900226,371.63138,1000,0.001
44,-0.038503192,369.16425,1000,0.001
45,-0.040423542,366.79544,1000,0.0
46,-0.03830798,364.16678,1000,0.0
47,-0.03877057,361.68604,1000,0.004
48,-0.041362926,360.11105,1000,0.002
49,-0.043910827,358.2447,1000,0.001
50,-0.04352596,356.0444,1000,0.001
