step,mean,ess,count,resample_fraction
1,0.06932018,508.6666,1000,0.0
2,0.14397803,491.96063,1000,0.002
3,0.21532087,477.0053,1000,0.002
4,0.28889862,463.98602,1000,0.001
5,0.33380955,449.72662,1000,0.007
6,0.38736072,437.21378,1000,0.002
7,0.45327333,423.69183,1000,0.005
8,0.54734236,412.54355,1000,0.004
9,0.61649907,399.95535,1000,0.013
10,0.6906,390.10446,1000,0.015
11,0.761127,381.94833,1000,0.012
12,0.8411543,373.00006,1000,0.017
13,0.8922657,367.2321,1000,0.012
14,0.9512484,358.24478,1000,0.03
15,1.0212088,355.58722,1000,0.028
16,1.1075492,351.41406,1000,0.036
17,1.1941857,349.90305,1000,0.037
18,1.2748469,348.08707,1000,0.043
19,1.3312367,348.421,1000,0.044
20,1.4134128,348.4075,1000,0.051
21,1.4839348,353.10895,1000,0.052
22,1.5640136,356.1051,1000,0.04
23,1.6285405,355.6215,1000,0.056
24,1.7095426,359.29977,1000,0.053
25,1.7869068,361.95624,1000,0.052
26,1.8539132,364.20554,1000,0.051
27,1.9495199,365.6866,1000,0.059
28,2.0386753,370.48135,1000,0.047
29,2.1316833,370.20447,1000,0.047
30,2.2154443,371.73322,1000,0.04
31,2.280897,370.13895,1000,0.04
32,2.3641238,368.66174,1000,0.053
33,2.4324396,370.1856,1000,0.053
34,2.5095873,372.3551,1000,0.048
35,2.5606482,373.78244,1000,0.037
36,2.6173155,371.6136,1000,0.041
37,2.6731586,370.3003,1000,0.042
38,2.7368846,369.53278,1000,0.031
39,2.8072503,365.0916,1000,0.046
40,2.8788466,366.0751,1000,0.046
41,2.9430034,366.38983,1000,0.05
42,2.9893565,368.2102,1000,0.034
43,3.0568838,365.55396,1000,0.032
44,3.1351457,362.79413,1000,0.043
45,3.2074068,362.04108,1000,0.05
46,3.2938771,362.63416,1000,0.045
47,3.3684094,363.31207,1000,0.043
48,3.4328167,363.92624,1000,0.046
49,3.5066,365.34842,1000,0.042
50,3.5940957,364.34952,1000,0.055
