step,mean,ess,count,resample_fraction
1,0.37663218,493.17664,1000,0.002
2,0.7379063,441.2198,1000,0.027
3,1.1094415,404.23737,1000,0.049
4,1.4788741,376.5199,1000,0.072
5,1.8116701,358.75937,1000,0.089
6,2.1446905,346.7544,1000,0.104
7,2.5057552,337.6825,1000,0.13
8,2.9256403,337.7376,1000,0.146
9,3.2912698,342.67072,1000,0.152
10,3.6631165,348.7012,1000,0.144
11,4.028257,350.1815,1000,0.133
12,4.4136887,348.34583,1000,0.132
13,4.75722,350.43057,1000,0.119
14,5.1083965,344.91113,1000,0.148
15,5.481918,350.2799,1000,0.132
16,5.8773465,349.91183,1000,0.126
17,6.281951,344.56174,1000,0.138
18,6.665221,346.7584,1000,0.145
19,6.999736,350.72458,1000,0.126
20,7.380644,346.90387,1000,0.14
21,7.776538,349.56775,1000,0.141
22,8.169159,352.73743,1000,0.124
23,8.523991,350.83194,1000,0.116
24,8.893158,346.3466,1000,0.132
25,9.275086,345.24277,1000,0.133
26,9.624088,345.3641,1000,0.134
27,10.01993,345.72934,1000,0.133
28,10.42055,347.96503,1000,0.124
29,10.820935,344.72226,1000,0.143
30,11.205291,346.5291,1000,0.151
31,11.568222,349.01672,1000,0.139
32,11.947451,350.77127,1000,0.112
33,12.312613,343.67618,1000,0.142
34,12.690918,347.364,1000,0.149
35,13.028417,353.39032,1000,0.111
36,13.375687,349.23672,1000,0.123
37,13.712681,345.6174,1000,0.143
38,14.076556,348.18225,1000,0.121
39,14.455168,342.43427,1000,0.156
40,14.826958,346.2277,1000,0.154
41,15.182919,353.35315,1000,0.114
42,15.51342,350.28568,1000,0.137
43,15.883254,351.27707,1000,0.132
44,16.262482,352.2776,1000,0.117
45,16.628098,349.2921,1000,0.119
46,17.005287,345.2683,1000,0.131
47,17.378979,346.06854,1000,0.132
48,17.73428,347.2792,1000,0.137
49,18.126354,350.31458,1000,0.127
50,18.511358,349.27783,1000,0.122
