step,mean,ess,count,resample_fraction
1,0.37940586,498.50272,1000,0.003
2,0.75768054,456.00323,1000,0.012
3,1.1352043,419.853,1000,0.02
4,1.5145657,389.09875,1000,0.047
5,1.8515052,368.33765,1000,0.072
6,2.191028,352.54663,1000,0.093
7,2.5649915,344.47534,1000,0.105
8,2.9966881,341.05295,1000,0.149
9,3.367876,348.59805,1000,0.126
10,3.7522955,350.76562,1000,0.121
11,4.1293464,349.43924,1000,0.137
12,4.5303416,352.6052,1000,0.12
13,4.87595,354.37036,1000,0.124
14,5.236601,355.39194,1000,0.11
15,5.6183314,351.72208,1000,0.119
16,6.012544,351.1518,1000,0.126
17,6.4206424,350.3755,1000,0.125
18,6.8157725,351.9407,1000,0.121
19,7.164069,351.58377,1000,0.126
20,7.5530186,349.5965,1000,0.121
21,7.9586353,351.80725,1000,0.122
22,8.358803,353.4313,1000,0.12
23,8.729438,353.77036,1000,0.117
24,9.1133995,352.27032,1000,0.114
25,9.501177,348.23193,1000,0.138
26,9.862932,353.52985,1000,0.117
27,10.270225,349.95175,1000,0.124
28,10.679895,350.27338,1000,0.116
29,11.091066,348.52084,1000,0.125
30,11.490039,352.37598,1000,0.109
31,11.868357,348.8764,1000,0.115
32,12.2599325,346.13214,1000,0.148
33,12.638626,354.37213,1000,0.112
34,13.020415,351.74933,1000,0.12
35,13.3660555,352.9406,1000,0.114
36,13.724677,351.87253,1000,0.12
37,14.0696535,351.48746,1000,0.117
38,14.436711,348.99985,1000,0.134
39,14.822428,351.29974,1000,0.126
40,15.209876,350.91373,1000,0.131
41,15.570257,354.35272,1000,0.118
42,15.907418,355.04837,1000,0.119
43,16.29108,353.59348,1000,0.123
44,16.67947,353.5718,1000,0.119
45,17.052269,352.9703,1000,0.117
46,17.436983,348.4954,1000,0.135
47,17.821922,351.88678,1000,0.117
48,18.18524,352.33917,1000,0.123
49,18.587158,352.47037,1000,0.12
50,18.981024,352.13248,1000,0.12
