length,MI,checkpoint_path
1,0.36541104,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
2,0.7309085,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
3,1.1607909,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
4,1.5452045,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
5,1.9232733,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
6,2.2568207,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
7,2.5806608,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
8,2.8943777,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
9,3.2079387,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
10,3.5343063,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
11,3.8391304,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
12,4.1357737,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
13,4.436716,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
14,4.7434635,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
15,5.038952,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
16,5.301213,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
17,5.5805717,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
18,5.8641624,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
19,6.1680994,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
20,6.4675913,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
21,6.744048,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
22,7.01976,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
23,7.2738457,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
24,7.542728,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
25,7.795448,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
26,8.105362,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
27,8.384584,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
28,8.652175,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
29,8.894314,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
30,9.1340475,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
31,9.421328,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
32,9.694315,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
33,9.987486,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
34,10.259434,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
35,10.516234,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
36,10.797504,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
37,11.08072,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
38,11.346592,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
39,11.641458,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
40,11.931123,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
41,12.208463,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
42,12.528675,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
43,12.795218,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
44,13.08637,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
45,13.368333,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
46,13.637316,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
47,13.906662,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
48,14.173248,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
49,14.449332,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
50,14.746163,lightning_logs/version_27/checkpoints/epoch=49-step=2000.ckpt
