Time,MutualInformation,Variance,Count,SEM,n_particles,gain,kappa,tau
0.01,4.0163286e-9,1.9981775e-14,2048,3.1235758e-9,1024,0.0,100.0,2.0
0.02,-6.2282197e-9,1.3179811e-14,2048,2.5368196e-9,1024,0.0,100.0,2.0
0.03,-5.820766e-10,6.935506e-16,2048,5.819345e-10,1024,0.0,100.0,2.0
0.04,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.05,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.06,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.07,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.08,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.09,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.1,1.8626451e-9,3.5492442e-15,2048,1.3164457e-9,1024,0.0,100.0,2.0
0.11,4.656613e-9,8.8601e-15,2048,2.0799569e-9,1024,0.0,100.0,2.0
0.12,2.2351742e-8,4.2132964e-14,2048,4.535718e-9,1024,0.0,100.0,2.0
0.13,4.8428774e-8,9.002521e-14,2048,6.6300543e-9,1024,0.0,100.0,2.0
0.14,1.0151416e-7,1.833177e-13,2048,9.461004e-9,1024,0.0,100.0,2.0
0.15,2.0954758e-7,3.5576983e-13,2048,1.3180126e-8,1024,0.0,100.0,2.0
0.16,3.4179538e-7,5.350984e-13,2048,1.6164112e-8,1024,0.0,100.0,2.0
0.17,5.410984e-7,7.392753e-13,2048,1.8999323e-8,1024,0.0,100.0,2.0
0.18,6.64033e-7,8.2560196e-13,2048,2.0077996e-8,1024,0.0,100.0,2.0
0.19,7.683411e-7,8.7514566e-13,2048,2.0671653e-8,1024,0.0,100.0,2.0
0.2,7.376075e-7,8.628098e-13,2048,2.0525444e-8,1024,0.0,100.0,2.0
0.21,6.714836e-7,8.2986244e-13,2048,2.0129736e-8,1024,0.0,100.0,2.0
0.22,5.662441e-7,7.5939255e-13,2048,1.9256094e-8,1024,0.0,100.0,2.0
0.23,3.9767474e-7,6.0035863e-13,2048,1.7121444e-8,1024,0.0,100.0,2.0
0.24,2.7474016e-7,4.4854273e-13,2048,1.4799156e-8,1024,0.0,100.0,2.0
0.25,1.3876706e-7,2.4542076e-13,2048,1.0946888e-8,1024,0.0,100.0,2.0
0.26,6.61239e-8,1.2174897e-13,2048,7.710236e-9,1024,0.0,100.0,2.0
0.27,2.7939677e-8,5.251008e-14,2048,5.0635647e-9,1024,0.0,100.0,2.0
0.28,8.381903e-9,1.5916955e-14,2048,2.787822e-9,1024,0.0,100.0,2.0
0.29,9.313226e-10,1.7754895e-15,2048,9.3109515e-10,1024,0.0,100.0,2.0
0.3,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.31,9.313226e-10,1.7754895e-15,2048,9.3109515e-10,1024,0.0,100.0,2.0
